Insertion_Index Worst_Case_Time(us) Best_Case_Time(us)
711 1.284 0.063
712 1.236 0.06
713 1.248 0.065
714 1.28 0.062
715 1.145 0.062
716 2.191 0.075
717 1.154 0.062
718 2.101 0.071
719 1.158 0.062
720 1.928 0.066
721 1.156 0.074
722 1.163 0.063
723 1.382 0.055
724 1.286 0.059
725 1.271 0.055
726 1.268 0.059
727 1.3 0.074
728 1.167 0.066
729 1.302 0.061
730 1.173 0.064
731 2.169 0.075
732 1.176 0.066
733 2.281 0.062
734 1.181 0.064
735 1.175 0.062
736 1.312 0.065
737 1.218 0.071
738 1.18 0.068
739 1.188 0.065
740 2.09 0.06
741 1.192 0.063
742 2.124 0.185
743 1.19 0.06
744 1.196 0.063
745 2.044 0.078
746 2.252 0.1
747 1.196 0.061
748 1.201 0.065
749 2.03 0.069
750 2.128 0.08
751 2.163 0.08
752 2.266 0.074
753 2.256 0.068
754 2.29 0.19
755 1.209 0.062
756 1.21 0.066
757 2.209 0.183
758 1.239 0.063
759 2.111 0.186
760 1.214 0.064
761 2.243 0.072
762 1.22 0.062
763 1.214 0.063
764 1.356 0.071
765 1.223 0.064
766 1.22 0.068
767 1.226 0.062
768 2.198 0.192
769 1.248 0.066
770 2.232 0.074
771 1.45 0.063
772 1.322 0.06
773 1.326 0.061
774 1.233 0.062
775 1.242 0.063
776 1.35 0.063
777 1.355 0.063
778 1.321 0.06
779 1.47 0.065
780 1.316 0.063
781 2.345 0.072
782 1.252 0.062
783 1.342 0.059
784 1.355 0.059
785 1.378 0.057
786 2.375 0.066
787 1.471 0.061
788 1.442 0.061
789 1.349 0.063
790 1.367 0.055
791 2.314 0.06
792 1.365 0.062
793 2.407 0.08
794 2.424 0.083
795 2.241 0.066
796 2.321 0.073
797 1.433 0.063
798 2.43 0.071
799 2.332 0.06
800 2.316 0.069
801 2.348 0.089
802 2.425 0.073
803 1.471 0.062
804 2.365 0.08
805 2.431 0.072
806 1.526 0.061
807 2.336 0.077
808 1.341 0.215
809 2.392 0.078
810 2.21 0.062
811 1.334 0.073
812 1.582 0.066
813 1.511 0.07
814 1.503 0.072
815 1.405 0.055
816 1.408 0.06
817 1.414 0.058
818 1.403 0.062
819 1.395 0.061
820 1.41 0.062
821 1.42 0.061
822 1.422 0.06
823 1.429 0.06
824 2.564 0.063
825 1.431 0.062
826 2.444 0.065
827 1.316 0.062
828 1.43 0.056
829 1.438 0.06
830 1.429 0.061
831 1.424 0.062
832 1.449 0.062
833 1.456 0.061
834 1.43 0.056
835 1.446 0.062
836 1.432 0.062
837 2.55 0.068
838 1.462 0.059
839 1.438 0.061
840 1.426 0.059
841 2.448 0.073
842 1.453 0.062
843 2.611 0.075
844 1.364 0.062
845 1.442 0.06
846 1.468 0.061
847 1.481 0.055
848 1.44 0.062
849 2.533 0.066
850 1.515 0.06
851 1.45 0.063
852 1.5 0.077
853 1.485 0.063
854 2.444 0.074
855 1.474 0.063
856 1.457 0.062
857 1.46 0.061
858 1.529 0.056
859 1.475 0.06
860 1.486 0.055
861 2.467 0.072
862 1.477 0.06
863 2.597 0.066
864 1.481 0.064
865 2.582 0.078
866 1.472 0.061
867 2.46 0.048
868 1.38 0.061
869 1.488 0.061
870 1.515 0.063
871 1.491 0.065
872 2.604 0.073
873 1.427 0.062
874 23.249 0.062
875 1.5 0.057
876 1.53 0.06
877 1.494 0.063
878 1.53 0.059
879 1.492 0.06
880 1.515 0.066
881 1.393 0.061
