Function_Index Worst_Case_Time(us) Best_Case_Time(us)
907 1382.21 5.639
908 1374.7 5.582
909 1362.09 5.518
910 1364.71 5.601
911 1386.92 5.592
912 2153.59 7.012
913 1444.42 5.654
914 1425.01 5.601
915 1382.49 5.643
916 1432.75 5.693
917 1401.34 5.569
918 1420.72 5.64
919 1397.81 5.648
920 1684.48 61.194
921 2980.38 13.615
922 3456.25 12.165
923 2358.09 6.639
924 1537.19 5.816
925 1425.18 5.775
926 1825.77 12.714
927 1416.39 5.711
928 1446.94 5.827
929 1457.01 5.689
930 1481.47 5.86
931 1427.95 5.66
932 1508.04 5.797
933 1434.58 5.65
934 1614.3 6.002
935 1464.3 5.759
936 1451.14 5.768
937 1446.08 5.793
938 1461.79 5.768
939 1469.12 5.801
940 1478.67 5.726
941 1517.04 6.241
942 1996.82 6.532
943 1536.82 5.8
944 1468.08 5.778
945 1478.31 5.812
946 1491.54 5.867
947 1496.41 5.812
948 1479.69 5.736
949 1530.19 5.84
950 1850.18 6.212
951 1547.04 5.855
952 1499.01 5.847
953 1522.65 5.916
954 1517.05 6.074
955 1532.83 5.843
956 1593.81 5.907
957 1539.14 5.908
958 1996.92 13.46
959 1571.9 12.342
960 1545.77 6.088
961 1543.35 5.917
962 1546.17 6.041
963 1542.05 6.034
964 1538.85 5.959
965 1540.23 5.928
966 2154.7 6.996
967 2512.86 12.823
968 3468.98 7.25
969 2207.48 6.087
970 1634.92 5.966
971 1611.15 6.065
972 1781.52 5.978
973 1603.65 5.972
974 1562.29 5.924
975 1610.98 5.982
976 1568.76 6.003
977 1581.62 6.083
978 1638.44 6.249
979 1916.4 6.422
980 1669.05 5.955
981 1621.68 6.141
982 1604.21 6.13
983 1602.96 6.203
984 1610.53 6.13
985 1609.64 6.204
986 1602.87 5.97
987 2421.48 6.873
988 1669.41 6.136
989 1609.15 6.251
990 1623.29 6.17
991 1615.37 6.292
992 1881.64 6.399
993 1660.85 6.235
994 1842.4 6.228
995 1629.56 6.204
996 1657.26 6.133
997 2044.6 6.459
998 1644.58 6.134
999 1641.31 6.158
1000 1657.68 6.216
1001 1704.82 26.121
1002 1730.61 6.208
1003 1671.43 6.298
1004 1676.55 6.389
1005 1664.88 6.078
1006 1745.63 6.346
1007 1729.22 6.273
1008 1670.7 6.098
1009 2224.35 13.293
1010 1993.42 6.358
1011 2250 6.388
1012 2049.33 12.565
1013 1695.52 6.144
1014 1697.33 6.148
1015 1768.09 6.436
1016 2606.58 18.248
1017 1847.54 6.516
1018 1766.56 6.3
1019 1781.03 6.441
1020 1711.61 6.873
1021 1754.1 6.413
1022 1768.36 6.396
1023 1797.95 6.316
1024 1781.41 6.368
1025 1768.43 6.377
1026 1745.6 6.39
1027 1762.68 6.324
1028 1788.25 6.356
1029 1763.31 6.31
1030 2255.92 6.655
1031 2345.14 6.805
1032 2264.8 6.636
1033 2332.41 6.989
1034 1991.6 6.722
1035 1795.79 6.626
1036 2469.14 15.811
1037 2091.62 7.077
1038 1786.48 6.46
1039 1813.47 6.465
1040 1887.83 6.422
1041 1799.09 6.482
1042 1830.39 6.499
1043 3159.98 9.73
1044 2046.82 6.679
1045 1816.84 6.517
1046 1827.3 6.502
1047 2047.38 6.474
1048 1980.6 6.937
1049 1846.53 6.57
1050 2278.63 6.572
1051 1911.11 6.464
1052 1935.85 6.738
1053 1848.53 6.515
1054 2124.97 6.719
1055 2040.38 13.889
1056 1864.87 14.156
1057 1915.03 6.501
1058 1917.23 6.768
1059 1981.76 6.726
1060 1899.38 6.583
1061 1974.23 6.742
1062 1913.43 6.832
1063 1870.84 6.605
1064 1958.3 6.567
1065 1948.27 6.615
1066 1903.2 6.561
1067 1897.36 6.657
1068 1942.24 6.564
1069 1947.03 6.672
1070 2078.35 10.428
1071 1978.89 6.595
1072 1917.52 6.596
1073 1923.67 6.656
1074 1937.49 6.657
1075 1941.64 6.776
1076 1947.56 6.722
1077 2238.5 13.678
1078 1922.78 6.718
1079 1940.49 6.628
1080 1944.92 6.704
1081 1933.57 6.747
1082 1944.34 6.738
1083 1947.4 6.719
1084 2228.09 6.854
1085 1950.1 6.791
1086 2012.79 6.671
1087 1984.39 6.745
1088 1959.04 6.753
1089 1984.29 6.735
1090 2374.07 7.095
1091 2135.11 6.822
1092 1973.81 6.767
1093 2003.83 6.715
1094 2104.29 6.764
1095 1998.36 6.807
1096 2362.78 18.059
1097 2105.86 6.788
1098 2001.34 6.851
1099 1999.41 6.839
1100 2008.93 6.844
1101 2005.24 6.84
1102 2191.23 7.035
1103 2034.82 6.89
1104 2017.57 6.841
1105 2028.94 6.764
1106 2069.09 6.951
1107 2028.05 6.901
1108 2044.04 6.903
1109 2368.66 7.055
1110 2090.27 6.87
1111 2085.42 6.794
1112 2058.74 6.872
1113 2087.03 6.894
1114 2058.75 7.224
1115 2416.06 7.091
1116 2059.82 7.007
1117 2118.68 7.004
1118 2076.4 6.847
1119 2090.7 7.1
1120 2098.81 6.945
1121 2212.36 13.253
1122 2135.39 6.977
1123 2119.6 6.89
1124 2088.13 6.969
1125 2191.29 7.182
1126 2101.89 6.993
1127 2552.66 15.011
1128 2212.98 6.846
1129 2125.95 6.95
1130 2132.4 7.02
1131 2120.36 7.012
1132 2279.51 7.466
1133 3603.07 11.158
1134 2355.18 7.098
1135 2140.35 7.023
1136 2153.43 6.996
1137 2156.83 7.043
1138 2611.82 13.197
1139 3735.28 14.011
