Erase_Index Worst_Case_Time(us) Best_Case_Time(us)
99306 177.841 0.072
99305 178.095 0.07
99304 184.365 0.071
99303 178.262 0.072
99302 197.231 0.069
99301 177.951 0.072
99300 178.227 0.071
99299 178.364 0.071
99298 178.042 0.073
99297 177.881 0.071
99296 178.021 0.073
99295 177.857 0.072
99294 197.815 0.071
99293 178.036 0.073
99292 178.212 0.073
99291 185.284 0.079
99290 178.446 0.07
99289 177.902 0.071
99288 177.948 0.073
99287 177.876 0.073
99286 177.902 0.071
99285 178.11 0.069
99284 177.98 0.071
99283 178.069 0.074
99282 177.833 0.073
99281 178.402 0.07
99280 195.639 0.068
99279 177.861 0.069
99278 178.038 0.072
99277 178.144 0.072
99276 345.94 0.075
99275 342.411 0.165
99274 199.732 0.068
99273 210.891 0.071
99272 185.314 0.082
99271 190.887 0.069
99270 185.363 0.071
99269 178.297 0.072
99268 177.873 0.068
99267 177.996 0.071
99266 184.13 0.071
99265 177.844 0.068
99264 177.65 0.072
99263 177.728 0.072
99262 197.296 0.073
99261 183.945 0.073
99260 177.809 0.072
99259 177.751 0.072
99258 178.015 0.07
99257 177.746 0.071
99256 177.851 0.073
99255 179.236 0.072
99254 178.928 0.07
99253 177.904 0.068
99252 187.334 0.065
99251 177.777 0.07
99250 177.885 0.072
99249 177.797 0.074
99248 177.68 0.072
99247 177.933 0.071
99246 177.944 0.073
99245 177.836 0.071
99244 177.833 0.073
99243 197.323 0.073
99242 183.506 0.069
99241 177.709 0.072
99240 177.901 0.071
99239 184.112 0.071
99238 177.743 0.074
99237 177.659 0.071
99236 184.409 0.095
99235 238.021 0.063
99234 179.378 0.067
99233 237.542 0.176
99232 289.966 0.102
99231 178.774 0.073
99230 207.678 0.083
99229 178.272 0.073
99228 177.984 0.07
99227 177.685 0.07
99226 177.644 0.071
99225 178.372 0.069
99224 177.87 0.07
99223 178.253 0.071
99222 178.559 0.07
99221 184.165 0.07
99220 177.789 0.073
99219 178.163 0.074
99218 177.712 0.072
99217 177.736 0.07
99216 178.374 0.073
99215 177.887 0.071
99214 177.696 0.075
99213 177.857 0.07
99212 177.853 0.07
99211 177.809 0.068
99210 177.784 0.07
99209 177.929 0.071
99208 177.89 0.073
99207 177.745 0.069
99206 177.982 0.071
99205 178.073 0.073
99204 177.756 0.071
99203 177.898 0.071
99202 177.825 0.069
99201 177.716 0.075
99200 177.925 0.068
99199 177.885 0.073
99198 177.897 0.071
99197 177.844 0.073
99196 186.927 0.069
99195 177.817 0.072
99194 177.858 0.072
99193 177.946 0.071
99192 202.511 0.072
99191 280.373 0.087
99190 317.345 0.138
99189 182.459 0.064
99188 234.41 0.075
99187 178.241 0.068
99186 181.133 0.068
99185 178.064 0.071
99184 177.935 0.071
99183 177.59 0.071
99182 177.72 0.068
99181 177.597 0.07
99180 177.626 0.071
99179 177.773 0.069
99178 177.594 0.068
99177 177.627 0.07
99176 177.702 0.07
99175 177.536 0.067
99174 184.032 0.068
99173 177.581 0.07
99172 183.966 0.069
99171 184.577 0.07
99170 178.109 0.071
99169 177.762 0.069
99168 177.902 0.072
99167 209.534 0.067
99166 178.21 0.071
99165 177.674 0.068
99164 177.723 0.071
99163 177.705 0.069
99162 177.599 0.068
99161 177.689 0.071
99160 177.772 0.069
99159 177.626 0.07
99158 177.944 0.07
99157 177.744 0.07
99156 178.355 0.07
99155 177.906 0.071
99154 184.135 0.068
99153 177.761 0.07
99152 177.779 0.072
99151 184.031 0.071
99150 177.814 0.073
99149 177.687 0.07
99148 177.843 0.07
99147 268.087 0.075
99146 321.408 0.078
99145 187.669 0.077
99144 211.485 0.069
99143 179.88 0.078
99142 179.733 0.071
99141 177.941 0.071
99140 177.719 0.071
99139 177.654 0.07
99138 177.621 0.072
99137 177.503 0.072
99136 177.461 0.073
99135 178.256 0.073
99134 178.127 0.071
99133 178.26 0.069
99132 177.871 0.071
99131 177.76 0.071
99130 177.549 0.071
99129 177.517 0.071
99128 177.607 0.07
99127 177.704 0.071
99126 177.505 0.071
99125 177.612 0.073
99124 183.865 0.072
99123 270.607 0.068
99122 178.126 0.068
99121 178.945 0.068
99120 178.233 0.074
99119 177.682 0.071
99118 177.764 0.072
99117 177.675 0.071
99116 177.621 0.071
99115 177.59 0.072
99114 210.843 0.069
99113 178.685 0.072
99112 177.752 0.075
99111 178.546 0.068
99110 177.64 0.072
99109 177.64 0.072
99108 177.708 0.071
99107 178.224 0.072
99106 178.074 0.07
99105 178.52 0.085
99104 248.506 0.073
99103 321.123 0.116
99102 201.023 0.062
99101 219.589 0.086
99100 179.472 0.045
99099 178.399 0.075
99098 177.775 0.072
99097 177.739 0.072
99096 177.962 0.07
99095 187.603 0.068
99094 177.455 0.07
99093 177.594 0.072
99092 177.444 0.068
99091 183.933 0.073
99090 177.413 0.071
99089 205.828 0.071
99088 177.716 0.07
99087 177.444 0.068
99086 177.446 0.071
99085 177.724 0.071
99084 177.653 0.073
99083 177.513 0.071
99082 177.582 0.072
99081 177.467 0.071
99080 177.434 0.073
99079 177.562 0.073
99078 177.444 0.072
99077 177.84 0.073
99076 178.086 0.071
99075 177.465 0.072
99074 177.473 0.072
99073 177.469 0.071
99072 177.447 0.071
99071 177.392 0.071
99070 177.542 0.073
99069 177.539 0.072
99068 177.426 0.069
99067 177.47 0.069
99066 177.569 0.073
99065 193.305 0.069
99064 178.123 0.068
99063 178.159 0.071
99062 177.556 0.071
99061 282.263 0.07
99060 189.87 0.066
99059 332.553 0.177
99058 429.29 0.15
99057 236.003 0.079
99056 179.477 0.087
99055 178.248 0.073
99054 177.778 0.073
99053 177.328 0.073
99052 177.387 0.071
99051 177.447 0.072
99050 177.451 0.071
99049 177.496 0.072
99048 177.444 0.072
99047 177.518 0.069
99046 177.339 0.071
99045 183.785 0.073
99044 177.356 0.072
99043 177.453 0.069
99042 177.329 0.071
99041 177.379 0.072
99040 184.628 0.072
99039 177.541 0.071
99038 187.122 0.066
99037 178.368 0.072
99036 181.309 0.073
99035 177.488 0.067
99034 177.773 0.071
99033 177.734 0.07
99032 177.452 0.071
99031 177.457 0.071
99030 177.519 0.07
99029 177.612 0.073
99028 177.63 0.071
99027 177.583 0.066
99026 177.416 0.074
99025 177.469 0.069
99024 177.441 0.072
99023 177.49 0.07
99022 177.431 0.071
99021 177.314 0.07
99020 177.424 0.071
99019 177.617 0.071
99018 177.53 0.07
99017 177.366 0.07
99016 327.64 0.09
99015 288.725 0.079
99014 216.491 0.105
99013 206.005 0.069
99012 191.157 0.078
99011 215.833 0.068
99010 177.68 0.073
99009 178.59 0.074
99008 177.536 0.073
99007 177.371 0.071
99006 177.33 0.07
99005 177.273 0.071
99004 177.402 0.071
99003 177.309 0.073
99002 177.397 0.073
99001 177.508 0.072
99000 177.495 0.071
98999 177.368 0.071
98998 177.276 0.073
98997 182.31 0.072
98996 183.981 0.072
98995 177.311 0.071
98994 177.455 0.073
98993 177.265 0.07
98992 177.918 0.071
98991 177.667 0.073
98990 177.507 0.069
98989 177.312 0.069
98988 184.413 0.073
98987 186.525 0.065
98986 177.304 0.073
98985 185.061 0.069
98984 177.504 0.067
98983 187.524 0.069
98982 182.968 0.072
98981 177.343 0.074
98980 177.35 0.072
98979 177.26 0.071
98978 183.208 0.073
98977 177.277 0.072
98976 177.412 0.068
98975 177.434 0.07
98974 177.272 0.072
98973 248.262 0.208
98972 327.077 0.078
98971 185.652 0.089
98970 178.4 0.067
98969 214.602 0.067
98968 178.143 0.069
98967 255.437 0.092
98966 178.272 0.068
98965 193.189 0.07
98964 249.024 0.08
98963 210.176 0.069
98962 178.072 0.071
98961 177.319 0.071
98960 177.533 0.073
98959 177.238 0.07
98958 177.254 0.07
98957 177.354 0.07
98956 177.7 0.072
98955 177.691 0.066
98954 177.789 0.072
98953 177.531 0.071
98952 177.395 0.071
98951 177.354 0.071
98950 177.288 0.072
98949 177.368 0.07
98948 177.327 0.072
98947 177.284 0.071
98946 177.305 0.071
98945 177.272 0.07
98944 177.404 0.07
98943 177.246 0.07
98942 177.367 0.072
98941 177.386 0.072
98940 177.291 0.073
98939 177.399 0.067
98938 177.191 0.07
98937 177.232 0.068
98936 254.65 0.078
98935 206.637 0.096
98934 256.671 0.072
98933 336.392 0.067
98932 178.577 0.069
98931 244.48 0.144
98930 269.313 0.09
98929 179.36 0.072
98928 178.718 0.068
98927 179.259 0.07
98926 221.186 0.065
98925 177.707 0.069
98924 177.68 0.073
98923 177.224 0.069
98922 177.562 0.07
98921 179.562 0.047
98920 199.054 0.098
98919 254.638 0.106
98918 275.764 0.122
98917 261.818 0.105
98916 200.737 0.172
98915 178.332 0.049
98914 178.109 0.072
98913 198.471 0.066
98912 184.249 0.085
98911 177.503 0.072
98910 183.669 0.07
98909 177.218 0.076
98908 177.511 0.07
98907 177.219 0.073
98906 177.074 0.067
98905 177.172 0.072
98904 184.066 0.075
98903 177.183 0.072
98902 194.691 0.072
98901 177.154 0.072
98900 195.527 0.098
98899 181.381 0.084
98898 484.885 0.276
98897 240.75 0.068
98896 320.815 0.065
98895 178.886 0.07
98894 178.432 0.071
98893 177.267 0.071
98892 177.132 0.07
98891 177.127 0.072
98890 177.303 0.07
98889 177.106 0.078
98888 177.198 0.07
98887 177.159 0.075
98886 177.261 0.07
98885 177.15 0.069
98884 177.507 0.072
98883 177.439 0.072
98882 177.148 0.071
98881 177.122 0.07
98880 177.174 0.073
98879 177.278 0.069
98878 177.244 0.073
98877 177.182 0.071
98876 177.145 0.07
98875 177.155 0.069
98874 177.866 0.073
98873 177.416 0.071
98872 177.152 0.07
98871 177.439 0.071
98870 184.166 0.071
98869 177.142 0.073
98868 177.278 0.069
98867 183.614 0.073
98866 177.226 0.07
98865 177.185 0.069
98864 177.397 0.071
98863 177.686 0.07
98862 194.173 0.067
98861 334.526 0.149
98860 179.3 0.07
98859 268.401 0.211
98858 235.22 0.07
98857 215.657 0.072
98856 253.506 0.071
98855 212.57 0.071
98854 216.149 0.072
98853 178.037 0.068
98852 177.003 0.072
98851 177.077 0.071
98850 177.147 0.072
98849 178.027 0.103
98848 246.757 0.089
98847 177.741 0.088
98846 177.496 0.072
98845 177.351 0.072
98844 177.231 0.071
98843 177.037 0.07
98842 197.079 0.07
98841 177.024 0.071
98840 177.06 0.071
98839 177.273 0.071
98838 177.27 0.072
98837 177.402 0.072
98836 177.296 0.071
98835 177.274 0.069
98834 177.289 0.069
98833 177.278 0.069
98832 177.224 0.069
98831 177.095 0.07
98830 177.564 0.071
98829 177.083 0.072
98828 177.258 0.071
98827 177.159 0.071
98826 177.017 0.073
98825 177.179 0.075
98824 183.504 0.071
98823 177.118 0.07
98822 177.187 0.072
98821 177.017 0.072
98820 177.328 0.07
98819 177.245 0.073
98818 177.009 0.073
98817 177.191 0.072
98816 242.499 0.161
98815 188.307 0.084
98814 188.175 0.091
98813 197.946 0.074
98812 208.347 0.078
98811 179.597 0.075
98810 177.568 0.067
98809 177.197 0.071
98808 177.054 0.07
98807 177.189 0.075
98806 177.315 0.073
98805 177.215 0.071
98804 177.017 0.072
98803 177.117 0.072
98802 183.672 0.072
98801 177.162 0.071
98800 177.046 0.07
98799 177.269 0.076
98798 177.182 0.07
98797 177.295 0.075
98796 183.876 0.073
98795 177.254 0.07
98794 177.005 0.073
98793 183.471 0.072
98792 177.121 0.071
98791 177.135 0.069
98790 182.533 0.073
98789 177.165 0.072
98788 177.09 0.071
98787 177.291 0.072
98786 177.239 0.072
98785 177.136 0.07
98784 177.247 0.073
98783 177.34 0.073
98782 176.949 0.075
98781 176.993 0.073
98780 177.095 0.071
98779 177.501 0.071
98778 183.345 0.071
98777 177.05 0.073
98776 177.076 0.071
98775 177.154 0.073
98774 177.13 0.073
98773 177.026 0.072
98772 177.439 0.072
98771 247.223 0.322
98770 328.297 0.199
98769 184.741 0.074
98768 206.737 0.068
98767 178.902 0.072
98766 191.113 0.07
98765 177.581 0.069
98764 177.038 0.071
98763 177.067 0.07
98762 176.882 0.071
98761 176.968 0.071
98760 176.888 0.073
98759 206.729 0.202
98758 330.116 0.099
98757 245.746 0.088
98756 263.675 0.073
98755 181.302 0.047
98754 281.914 0.087
98753 189.378 0.089
98752 179.209 0.047
98751 216.304 0.066
98750 178.069 0.073
98749 193.667 0.068
98748 177.588 0.073
98747 177.625 0.047
98746 177.609 0.071
98745 182.198 0.08
98744 226.183 0.063
98743 214.453 0.072
98742 183.802 0.069
98741 188.969 0.071
98740 178.193 0.069
98739 248.427 0.078
98738 267.595 0.108
98737 251.537 0.103
